24-0000006888,02-0000166686,180,20141202,20141202,193078.7411,560400.0017,대한신호(주),0,6,2,1,2467831,1,2015-0101-003,24-006888,12606,1,1
24-0000002228,02-0000019908,180,20160510,20200528,194386.25,541930.9687,대한신호,,1,2,1,2190433,1,2020-0101-010,24-002228,2365,1,4
24-0000001250,02-0000060680,180,20150213,20200306,197695.15,548504.6937,대한신호,,1,2,1,3263052,1,2020-0101-005,24-001250,5174,1,2
24-0000003146,02-0000085321,180,20090313,20090313,204898.3436,561492.4757,(주)네오텔레콤, ,4,1,1, ,1,2009-0101-044,24-003146,7014,1,5
24-0000003146,02-0000085321,180,20070601,20070601,204898.3436,561492.4757, , ,4,1,1, ,1,2009-0101-044,24-003146,7015,1,5
24-0000003146,02-0000085321,180,20090313,20090313,204898.3436,561492.4757,(주)네오텔레콤, ,1,2,1, ,1,2009-0101-044,24-003146,7016,1,5
24-0000003147,02-0000085323,180,20070601,20070601,204888.8003,561519.7701, , ,4,1,1, ,1,2009-0111-001,24-003147,7018,1,1
24-0000003151,02-0000085324,180,20090313,20090313,204871.8109,561515.7777,(주)네오텔레콤, ,1,2,1, ,1,2009-0111-001,24-003151,7019,1,1
24-0000003151,02-0000085324,180,20070601,20070601,204871.8109,561515.7777, , ,4,1,1, ,1,2009-0111-001,24-003151,7020,1,1
24-0000006347,02-0000162127,180,20101001,20140711,190894.2875,545942.5187,삼일안전시스템,0,6,2,1,2128431,1,2020-9907-001,24-006347,12273,1,2
24-0000003115,02-0000085361,180,20090313,20090313,204841.4061,561520.0012,(주)네오텔레콤, ,1,2,1, ,1,2009-0111-001,24-003115,7026,1,1
